run_id,video,start,end,hoop_config,model,imgsz,confidence,rim_tracker_kind,rim_reseed_every,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,possession_dist_px,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity
0,1v1-ddg.mp4,929.45,990.58,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,static,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
1,1v1-ddg.mp4,1016.6,1078.34,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,static,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
