run_id,video,start,end,hoop_config,model,imgsz,confidence,rim_tracker_kind,rim_reseed_every,upward_trigger,history_frames,release_dist_px,approach_dist_px,cooldown_frames,possession_dist_px,occlusion_gap_frames,attempt_to_made_window,enter_zone_radius_factor,horizontal_pad_factor,min_downward_velocity
17,1v1-ddg.mp4,1841.3,1862.12,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
18,1v1-ddg.mp4,1875.16,1898.71,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
19,1v1-ddg.mp4,1941.94,1966.68,experiments/demo/hoop_configs/1v1-ddg.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
20,1v1-jason.mp4,264.09,292.77,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
21,1v1-jason.mp4,294.86,320.64,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
22,1v1-jason.mp4,335.18,364.35,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
23,1v1-jason.mp4,372.96,398.23,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
24,1v1-jason.mp4,546.18,571.73,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
25,1v1-jason.mp4,593.46,615.39,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
26,1v1-jason.mp4,642.98,664.27,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
27,1v1-jason.mp4,745.16,768.9,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
28,1v1-jason.mp4,866.24,889.56,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
29,1v1-jason.mp4,907.45,933.01,experiments/demo/hoop_configs/1v1-jason.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
30,1v1-nasir.mp4,164.32,193.42,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
31,1v1-nasir.mp4,538.87,562.79,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
32,1v1-nasir.mp4,782.08,809.36,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
33,1v1-nasir.mp4,1120.08,1143.56,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
34,1v1-nasir.mp4,1379.7,1409.3,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
35,1v1-nasir.mp4,1475.73,1498.45,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
36,1v1-nasir.mp4,1586.98,1612.62,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
37,1v1-nasir.mp4,1685.75,1709.78,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
38,1v1-nasir.mp4,1734.99,1755.09,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
39,1v1-nasir.mp4,2234.95,2255.7,experiments/demo/hoop_configs/1v1-nasir.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
40,1v1-roy.mp4,74.54,102.65,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
41,1v1-roy.mp4,104.57,133.83,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
42,1v1-roy.mp4,145.84,168.36,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
43,1v1-roy.mp4,189.29,210.4,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
44,1v1-roy.mp4,225.27,250.59,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
45,1v1-roy.mp4,321.39,347.97,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
46,1v1-roy.mp4,378.97,406.22,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
47,1v1-roy.mp4,413.26,441.68,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
48,1v1-roy.mp4,623.65,651.36,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
49,1v1-roy.mp4,679.84,707.89,experiments/demo/hoop_configs/1v1-roy.json,yolov8x.pt,1280,0.25,flow,90,-10.0,6,60.0,260.0,20,140.0,15,120,2.5,2.0,1.0
