run_id,video,start,end,hoop_config,model,imgsz,confidence,tracker,possession_dist_px,upward_trigger,made_window,hoop_pad
33,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
34,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
35,1v1-mk.mov,268.37,338.09,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
36,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
37,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
38,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
39,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
40,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
41,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
42,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
43,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
